2009-09-25 16:10:01 Notice: Notice (8): Undefined variable: frame in [APP/views/pages/index.ctp, line 18]
2009-09-25 16:10:31 Notice: Notice (8): Undefined variable: frames in [APP/views/pages/index.ctp, line 17]
2009-09-25 17:05:14 Notice: Notice (8): Undefined variable: hash_algos in [APP/views/pages/index.ctp, line 18]
2009-09-30 09:28:36 Notice: Notice (8): Undefined index:  ext in [APP/controllers/peers_controller.php, line 13]
2009-09-30 09:31:01 Notice: Notice (8): Undefined index:  ext in [APP/controllers/peers_controller.php, line 13]
2009-09-30 09:40:25 Notice: Notice (8): Undefined property: PeersController::$form in [APP/controllers/peers_controller.php, line 13]
2009-09-30 09:40:35 Notice: Notice (8): Undefined property: PeersController::$form in [APP/controllers/peers_controller.php, line 13]
2009-11-29 14:53:44 Notice: Notice (8): Undefined property: CollectionFile::$CollectionFile in [APP/models/collection_file.php, line 35]
2009-11-30 16:31:55 Notice: Notice (8): Undefined property: PeersController::$id in [APP/controllers/peers_controller.php, line 23]
2009-11-30 16:34:25 Notice: Notice (8): Undefined property: PeersController::$id in [APP/controllers/peers_controller.php, line 23]
2009-11-30 16:34:57 Notice: Notice (8): Undefined property: PeersController::$id in [APP/controllers/peers_controller.php, line 23]
2009-11-30 17:18:08 Notice: Notice (8): Undefined property: PeersController::$Tags in [APP/controllers/peers_controller.php, line 24]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 1 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 1 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 2 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 2 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 3 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 3 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 4 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 4 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 5 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:12 Notice: Notice (8): Undefined offset: 5 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 2 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 2 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 3 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 3 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 4 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 4 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 442]
2009-11-30 17:34:30 Notice: Notice (8): Undefined offset: 5 in [CORE/cake/libs/model/datasources/dbo/dbo_sqlite3.php, line 439]
